method,restart,objective,success,lambdas,weights,L0,A,C,alpha,fit_group,fit_offset,p0,p1,p2,p3,p4,p5,p6,p7
KMTL-m2,0,1e+30,True,0.99|0.999,0.365764|0.634236,1.7590180918892164,6.480466125322224,0.24077392973683667,0.15151205098816914,KMTL-m2,0,,,,,,,,
KMTL-m2,1,1e+30,True,0.99|0.999,0.348713|0.651287,2.101040904004993,7.970613411517054,0.9000003746617329,0.20504830330317209,KMTL-m2,0,,,,,,,,
KMTL-m2,2,1e+30,True,0.99|0.999,0.498952|0.501048,2.075161605128342,11.260980937445442,0.015978836416911817,0.2531417327840256,KMTL-m2,0,,,,,,,,
KMTL-m2,3,1e+30,True,0.99|0.999,0.636753|0.363247,2.116910068969834,14.00903359349586,0.6978449811006111,0.28786425700683327,KMTL-m2,0,,,,,,,,
KMTL-m2,4,1e+30,True,0.99|0.999,0.498072|0.501928,2.523383708080478,2107.482177978051,0.046383681433063394,1.0479962333271542,KMTL-m2,0,,,,,,,,
KMTL-m2,5,1e+30,True,0.99|0.999,0.419186|0.580814,2.009936562962878,10.55955833443435,0.2503811841896912,0.23909253150215226,KMTL-m2,0,,,,,,,,
KMTL-m2,6,1e+30,True,0.99|0.999,0.59648|0.40352,2.4059251031718576,34.45699909125502,2.229713171788771,0.44177965760166127,KMTL-m2,0,,,,,,,,
KMTL-m2,7,1e+30,True,0.99|0.999,0.539889|0.460111,2.486116129541961,44.42178617555063,0.9054079813054404,0.48585579898051773,KMTL-m2,0,,,,,,,,
KMTL-m2,8,0.005519588681372052,True,0.99|0.999,0.62286|0.37714,1.9831618260647657,4402.191626999331,1e-10,0.8925010679349769,KMTL-m2,0,,,,,,,,
KMTL-m2,9,0.0006518766221433922,True,0.99|0.999,0.261099|0.738901,2.4624596707274535,211.44849176456705,4.63015911459168e-05,0.6888457459208249,KMTL-m2,0,,,,,,,,
KMTL-m2,10,0.0007238233047145298,True,0.99|0.999,0.70109|0.29891,2.2152319468774184,63.757879013169976,1e-10,0.5022479161639236,KMTL-m2,0,,,,,,,,
KMTL-m2,11,0.0014749665832034515,True,0.99|0.999,0.651141|0.348859,1.9287883459872246,76.0514178279399,1e-10,0.47110214174353304,KMTL-m2,0,,,,,,,,
KMTL-m2,12,1e+30,True,0.99|0.999,0.521413|0.478587,2.3580614226756063,20.731533428981987,1.4199608038827591,0.36405169178292424,KMTL-m2,0,,,,,,,,
KMTL-m2,13,1e+30,True,0.99|0.999,0.311327|0.688673,2.250454611184727,2562.1469742897657,1.9217269782582544,1.0522323430168885,KMTL-m2,0,,,,,,,,
KMTL-m2,14,1e+30,True,0.99|0.999,0.259542|0.740458,1.8854783459204036,35921.89639422069,1.825220362540216,1.4074627859912987,KMTL-m2,0,,,,,,,,
KMTL-m2,15,1e+30,True,0.99|0.999,0.666919|0.333081,2.4343239678154576,226.15199994278402,0.00827027165799778,0.7166475081166187,KMTL-m2,0,,,,,,,,
KMTL-m2,16,1e+30,True,0.99|0.999,0.534662|0.465338,2.025194318291528,6.661510251086943,0.1443055250598097,0.17350976261465728,KMTL-m2,0,,,,,,,,
KMTL-m2,17,1e+30,True,0.99|0.999,0.488015|0.511985,1.9540768976176204,649.4307790256072,0.1579821236699772,0.8313310809982256,KMTL-m2,0,,,,,,,,
KMTL-m2,18,0.006268711969094029,True,0.99|0.999,0.514748|0.485252,2.4826471873421863,36.81087530165469,0.00010541087280727801,0.45833050787015395,KMTL-m2,0,,,,,,,,
KMTL-m2,19,1e+30,True,0.99|0.999,0.205127|0.794873,1.993417742551187,24.46950654186977,0.019427281384713967,0.35955207671740874,KMTL-m2,0,,,,,,,,
KMTL-m3,0,1e+30,True,0.99|0.999|0.9999,0.49634|0.203259|0.300401,1.8752403977592,46.78870952709478,0.005480102043057842,0.44522389847760485,KMTL-m3,1,,,,,,,,
KMTL-m3,1,1e+30,True,0.99|0.999|0.9999,0.309009|0.487031|0.20396,2.3685752732406544,29.296745090071074,0.008506285218649504,0.4150153681387375,KMTL-m3,1,,,,,,,,
KMTL-m3,2,1e+30,True,0.99|0.999|0.9999,0.261003|0.320157|0.41884,1.952215550034961,11.838443925470894,0.0321177947192897,0.25156919200547584,KMTL-m3,1,,,,,,,,
KMTL-m3,3,1e+30,True,0.99|0.999|0.9999,0.241944|0.376678|0.381378,1.879908149306341,9.96740981573451,0.5095263680901567,0.22172815908009685,KMTL-m3,1,,,,,,,,
KMTL-m3,4,0.0002891629274428222,False,0.99|0.999|0.9999,0.333498|0.379833|0.286669,2.8031537362170273,26950.843461828506,7.237995841979056e-05,1.421789743978322,KMTL-m3,1,,,,,,,,
